기간,자치구,동,합계,합계,합계,합계,합계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,교육 서비스업,교육 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업
기간,자치구,동,사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
기간,자치구,동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
2019,중구,소공동,3849,1163,64144,36680,27464,-,-,-,-,76,233,1,3,2,22,21,638,1291,9386,264,5776,740,7382,92,4048,254,16313,145,1065,366,7345,255,8028,5,364,43,853,65,772,42,444,187,1472
2019,중구,회현동,8566,4391,45216,23422,21794,-,-,1,5,206,740,-,-,-,-,18,606,6763,19341,101,2149,601,3486,48,2978,149,6155,164,1059,100,4212,80,1742,7,485,26,320,74,728,32,709,196,501
2019,중구,명동,6965,1991,110390,59638,50752,-,-,-,-,257,993,3,703,2,29,34,631,1781,12006,258,3367,1345,8482,289,11932,551,23538,379,3266,611,10640,629,13961,17,14632,80,1038,181,2197,73,480,475,2495
2019,중구,필동,2886,782,22404,12611,9793,-,-,-,-,984,4115,-,-,1,33,17,133,356,1505,33,180,475,1706,129,2297,44,879,108,264,415,2426,73,2793,6,1184,53,3488,37,576,46,433,109,392
2019,중구,장충동,819,238,9181,5254,3927,-,-,-,-,101,493,-,-,2,166,12,1088,234,1579,25,84,166,2021,37,626,10,69,35,273,70,1201,25,685,3,144,15,84,12,66,18,423,54,179
2019,중구,광희동,8472,3019,36451,20148,16303,-,-,-,-,2307,7001,-,-,-,-,39,497,4168,11366,95,497,732,3259,94,1043,91,871,169,1039,374,5330,115,1493,3,1435,30,246,45,1655,51,149,159,570
2019,중구,을지로동,8812,1969,35333,22812,12521,-,-,-,-,3399,8931,-,-,-,-,48,2630,3455,10276,70,360,629,3372,121,1115,86,1596,201,540,431,2189,83,2341,4,388,18,113,46,856,59,214,162,412
2019,중구,신당5동,1193,471,4057,1974,2083,-,-,-,-,274,1073,-,-,1,1,24,108,303,801,62,95,225,551,10,44,6,95,54,126,22,87,9,25,2,44,17,299,45,447,38,91,101,170
2019,중구,황학동,1947,635,5643,3210,2433,-,-,-,-,185,431,-,-,-,-,11,127,1123,2762,54,104,265,698,4,11,17,174,66,172,31,112,14,426,2,23,18,93,29,196,31,81,97,233
2019,중구,중림동,1016,330,7530,3578,3952,-,-,-,-,64,429,-,-,1,33,11,60,240,1160,78,551,236,810,30,973,29,702,51,178,49,956,30,382,3,49,30,355,44,315,23,114,97,463
2019,중구,신당동,11459,6001,29891,12919,16972,-,-,-,-,549,1697,-,-,1,31,25,93,9855,21210,69,174,323,1127,20,108,33,722,187,738,77,266,109,1064,7,1388,16,457,29,404,42,174,117,238
2019,중구,다산동,1424,475,9742,5014,4728,-,-,-,-,173,728,-,-,-,-,49,338,379,1495,121,176,204,811,40,268,12,132,65,168,96,1046,41,3227,1,22,43,407,52,475,39,106,109,343
2019,중구,약수동,833,323,4122,1753,2369,-,-,-,-,44,199,-,-,1,24,23,108,192,674,105,200,125,452,16,44,7,49,52,248,39,169,15,134,3,92,39,204,50,1235,22,82,100,208
2019,중구,청구동,881,320,4419,2598,1821,-,-,-,-,126,603,-,-,1,18,27,232,241,827,96,139,86,319,19,131,7,76,47,143,47,192,13,773,1,19,49,454,26,232,18,60,77,201
2019,중구,동화동,1005,343,4045,1873,2172,-,-,-,-,273,1235,-,-,-,-,13,46,300,1174,64,72,98,275,8,22,5,58,57,176,30,219,10,85,1,18,25,187,25,188,24,77,72,213
2019,용산구,소계,20254,7074,135240,74570,60670,-,-,-,-,905,2955,3,5,12,145,403,6686,6842,31996,1205,3951,4594,18282,459,9718,251,5090,1223,4314,858,15994,361,10766,47,3101,537,6973,562,7147,401,2623,1591,5494
2019,용산구,후암동,928,355,3658,1856,1802,-,-,-,-,51,162,-,-,-,-,31,155,220,687,118,122,198,601,27,427,6,24,56,158,35,97,8,197,3,107,39,244,38,349,14,130,84,198
2019,용산구,용산2가동,601,204,2070,944,1126,-,-,-,-,22,48,-,-,-,-,9,25,126,264,71,105,210,635,8,83,2,10,29,47,25,64,6,18,1,20,16,448,13,146,10,66,53,91
2019,용산구,남영동,1619,583,20322,11367,8955,-,-,-,-,71,331,1,3,2,17,30,2048,381,3810,47,943,512,2136,41,1050,45,2157,55,175,72,3460,65,2329,4,68,33,198,65,550,53,344,142,703
2019,용산구,원효로2동,958,291,6846,4318,2528,-,-,-,-,28,113,-,-,2,63,28,197,412,2315,98,302,107,280,23,689,4,24,61,255,20,112,17,1756,1,18,40,329,20,172,17,40,80,181
2019,용산구,효창동,418,131,2182,1211,971,-,-,-,-,16,30,-,-,-,-,17,580,86,295,76,163,49,154,14,49,4,28,30,66,15,54,8,88,1,22,32,167,29,318,11,58,30,110
2019,용산구,용문동,630,255,1789,817,972,-,-,-,-,32,93,-,-,-,-,26,74,193,646,77,93,117,275,4,23,3,17,32,66,7,10,4,26,1,23,23,58,27,245,12,22,72,118
2019,용산구,이촌1동,812,399,3613,1597,2016,-,-,-,-,5,18,-,-,-,-,15,51,223,543,25,27,185,752,9,35,18,146,98,464,12,113,2,7,3,38,54,601,57,448,21,129,85,241
2019,용산구,이촌2동,347,119,832,494,338,-,-,-,-,12,33,-,-,2,19,12,22,84,199,80,88,32,71,9,30,3,37,37,95,6,12,4,12,2,44,9,10,9,76,4,6,42,78
2019,용산구,이태원1동,1538,634,7006,3655,3351,-,-,-,-,34,81,-,-,-,-,8,39,566,1505,33,84,618,2745,8,39,20,112,55,212,40,166,21,129,5,1320,8,90,21,273,20,64,81,147
2019,용산구,이태원2동,720,267,2208,1175,1033,-,-,-,-,22,61,-,-,-,-,14,80,166,521,63,112,242,674,11,68,10,40,58,78,34,171,6,27,1,18,15,151,17,113,9,15,52,79
2019,용산구,서빙고동,414,141,4683,2651,2032,-,-,-,-,13,43,-,-,1,2,18,924,113,792,55,236,53,180,11,468,4,19,34,226,21,154,5,33,2,46,24,236,11,72,8,733,41,519
